iter	Passed	Remaining
163	2278	67185
164	2291	67149
165	2305	67150
166	2318	67109
167	2332	67096
168	2346	67068
169	2359	67041
170	2373	67013
171	2385	66968
172	2400	66979
173	2413	66929
174	2426	66912
175	2440	66888
176	2454	66870
177	2468	66859
178	2481	66829
179	2495	66822
180	2509	66804
181	2521	66760
182	2535	66741
183	2549	66720
184	2561	66680
185	2574	66639
186	2588	66620
187	2602	66602
188	2615	66580
189	2628	66554
190	2641	66519
191	2655	66506
192	2669	66493
193	2683	66490
194	2697	66475
195	2711	66450
196	2723	66412
197	2737	66386
198	2750	66350
199	2764	66336
200	2777	66323
201	2790	66293
202	2804	66265
203	2817	66243
204	2831	66221
205	2845	66225
206	2860	66227
207	2875	66250
208	2888	66224
209	2903	66222
210	2916	66200
211	2930	66177
212	2943	66143
213	2956	66129
214	2970	66100
215	2983	66081
216	2996	66056
217	3010	66045
218	3024	66038
219	3038	66014
220	3051	65990
221	3065	65987
222	3080	65991
223	3093	65951
224	3107	65939
225	3120	65908
226	3133	65891
227	3146	65865
228	3161	65872
229	3175	65849
230	3189	65838
231	3202	65817
232	3216	65807
233	3229	65787
234	3242	65756
235	3256	65730
236	3269	65706
237	3282	65681
238	3296	65658
239	3310	65650
240	3324	65640
241	3338	65635
242	3352	65627
243	3365	65601
244	3379	65591
245	3393	65581
246	3407	65561
247	3421	65556
248	3436	65560
249	3448	65522
250	3462	65512
251	3475	65490
252	3489	65468
253	3501	65434
254	3517	65444
255	3531	65441
256	3545	65425
257	3559	65421
258	3573	65418
259	3588	65416
260	3601	65396
261	3614	65370
262	3628	65347
263	3641	65320
264	3656	65331
265	3669	65304
266	3682	65280
267	3696	65264
268	3709	65244
269	3723	65232
270	3738	65241
271	3753	65243
272	3767	65230
273	3780	65208
274	3796	65222
275	3811	65229
276	3824	65209
277	3837	65180
278	3851	65167
279	3865	65161
280	3879	65147
281	3892	65125
282	3907	65122
283	3921	65121
284	3936	65118
285	3949	65093
286	3963	65081
287	3976	65066
288	3990	65053
289	4004	65034
290	4017	65014
291	4031	64996
292	4044	64974
293	4059	64972
294	4072	64959
295	4087	64959
296	4101	64943
297	4116	64954
298	4132	64975
299	4149	65016
300	4166	65039
301	4182	65062
302	4197	65074
303	4214	65097
304	4228	65088
305	4242	65074
306	4256	65072
307	4271	65076
308	4287	65082
309	4302	65085
310	4319	65125
311	4334	65134
312	4349	65131
313	4364	65129
314	4380	65147
315	4395	65151
316	4410	65155
317	4426	65170
318	4441	65174
319	4455	65167
320	4471	65180
321	4487	65196
322	4503	65215
323	4521	65259
324	4537	65271
325	4553	65287
326	4568	65280
327	4583	65283
328	4598	65294
329	4615	65310
330	4629	65309
331	4647	65342
332	4663	65360
333	4679	65379
334	4693	65362
335	4708	65358
336	4723	65352
337	4737	65347
338	4754	65367
339	4769	65371
340	4785	65383
341	4800	65376
342	4814	65371
343	4830	65377
344	4844	65370
345	4859	65366
346	4874	65368
347	4888	65352
348	4903	65352
349	4918	65347
350	4933	65345
351	4948	65338
352	4963	65337
353	4978	65339
354	4993	65341
355	5010	65357
356	5024	65350
357	5039	65341
358	5056	65362
359	5070	65356
360	5085	65346
361	5100	65348
362	5114	65338
363	5130	65347
364	5145	65338
365	5161	65349
366	5176	65344
367	5190	65336
368	5206	65343
369	5221	65342
370	5238	65366
371	5256	65390
372	5273	65413
373	5287	65399
374	5304	65422
375	5320	65427
376	5336	65439
377	5351	65435
378	5365	65423
379	5380	65411
380	5395	65413
381	5410	65407
382	5428	65435
383	5444	65446
384	5461	65464
385	5478	65485
386	5493	65487
387	5509	65489
388	5524	65489
389	5540	65490
390	5556	65493
391	5570	65484
392	5587	65500
393	5602	65493
394	5617	65494
395	5632	65485
396	5647	65481
397	5662	65474
398	5677	65464
399	5692	65461
400	5707	65453
401	5721	65444
402	5736	65437
403	5750	65423
404	5765	65415
405	5781	65422
406	5797	65429
